ticker,month,timeframe,roi,tp_hits,sl_hits,spacing
LEO-USD,2025-11,4h,0.07143668243475985,3,2,0.02023970677379833
LINK-USD,2025-11,4h,-0.1929504525295124,16,8,0.0310433822898625
XLM-USD,2025-11,4h,-0.5410150614301529,16,12,0.022304209090597337
XAUt-USD,2025-11,4h,0.2734739579040251,1,1,0.015
BGB-USD,2025-11,4h,-0.3429762233695874,8,12,0.015
PAXG-USD,2025-11,4h,0.15462493375185657,1,1,0.015
AAVE-USD,2025-11,4h,-0.3125175932338607,18,11,0.028724671507914763
OKB-USD,2025-11,4h,-0.2611808899357129,14,10,0.02620602966452245
ONDO-USD,2025-11,4h,-0.3101249813931099,19,11,0.02911607117031206
USDD-USD,2025-11,4h,0.0010736413317135884,0,0,0.015
BNB-USD,2025-12,4h,-0.2897216159414893,7,7,0.015
XRP-USD,2025-12,4h,-0.03131784768831494,8,5,0.023523504593463217
SOL-USD,2025-12,4h,-0.11205466056986552,15,12,0.018140613411081908
TRX-USD,2025-12,4h,0.041453894214082534,2,2,0.015
DOGE-USD,2025-12,4h,-0.0380572273198959,13,5,0.032687336614515276
BCH-USD,2025-12,4h,0.034454437638160015,13,5,0.030379524878919862
LEO-USD,2025-12,4h,0.31590710639820824,14,10,0.015126833587754471
LINK-USD,2025-12,4h,-0.3771465308966981,16,13,0.018171744984182416
XLM-USD,2025-12,4h,-0.1558316980173913,11,6,0.02940729055219936
XAUt-USD,2025-12,4h,0.07059952384712233,2,1,0.015
BGB-USD,2025-12,4h,-0.11905286281787995,2,3,0.015
PAXG-USD,2025-12,4h,0.04337813980924693,1,1,0.015
AAVE-USD,2025-12,4h,-0.05903814730760132,19,8,0.030137937611550765
OKB-USD,2025-12,4h,-0.03711083240172229,11,6,0.019180648084144523
ONDO-USD,2025-12,4h,-0.284024350579748,13,9,0.028134007167398563
TRX-USD,2025-01,1h,0.2374055917889018,14,18,0.015
DOGE-USD,2025-01,1h,-0.681911809695448,30,26,0.019021167569979267
BCH-USD,2025-01,1h,0.11620717305624567,21,22,0.01674193359648342
LEO-USD,2025-01,1h,-0.013455351580105343,8,7,0.015
LINK-USD,2025-01,1h,-0.014161207542583727,42,25,0.0222096344277245
XLM-USD,2025-01,1h,0.20483452458965987,41,27,0.02168586341797093
XAUt-USD,2025-01,1h,0.21951302000681608,1,0,0.015
BGB-USD,2025-01,1h,-0.3211355294941131,25,27,0.015
PAXG-USD,2025-01,1h,0.22574387198243132,1,0,0.015
AAVE-USD,2025-01,1h,-0.018684806595956616,45,22,0.025442210805204004
OKB-USD,2025-01,1h,-0.4988927278663323,16,23,0.015
ONDO-USD,2025-01,1h,-0.08535902758299926,50,18,0.036111483099222956
USDD-USD,2025-01,1h,-0.0011201094739953987,0,0,0.015
BNB-USD,2025-02,1h,-0.4042784028064489,16,24,0.015
XRP-USD,2025-02,1h,-0.8971258467265943,31,45,0.015173097421684035
SOL-USD,2025-02,1h,-1.230289981132737,25,35,0.019636097368773545
