ticker,month,timeframe,roi,tp_hits,sl_hits,cycles,avg_spacing
PAXG-USD,2025-04,4h,0.010928777242297657,5,0,5,1.5
AAVE-USD,2025-04,4h,3.0140024750197516,28,0,28,3.669671928794581
OKB-USD,2025-04,4h,3.3138462501382313,13,0,13,1.5
ONDO-USD,2025-04,4h,2.3806299112068516,17,0,17,3.5589173592324457
USDD-USD,2025-04,4h,0.0009503557742209523,0,0,0,1.5
BNB-USD,2025-05,4h,1.012878175085316,8,0,8,1.5
XRP-USD,2025-05,4h,0.7962576781513961,11,0,11,2.9932428826433632
SOL-USD,2025-05,4h,-0.004380068604186818,16,0,16,3.168240923023479
TRX-USD,2025-05,4h,1.192876383505536,10,0,10,1.5391643796227645
DOGE-USD,2025-05,4h,-1.0555778022123015,21,0,21,4.495283318057018
BCH-USD,2025-05,4h,1.0971330380306243,12,0,12,2.970638039757649
LEO-USD,2025-05,4h,2.056982794957894,4,0,4,1.5
LINK-USD,2025-05,4h,1.1842125168808888,17,0,17,3.6013358770329615
XLM-USD,2025-05,4h,-0.09377128770027413,12,0,12,2.7408604150530294
XAUt-USD,2025-05,4h,0.9103328931132819,3,0,3,1.5
BGB-USD,2025-05,4h,-0.40501882799173466,13,0,13,3.342635956322363
PAXG-USD,2025-05,4h,0.9218525497148402,3,0,3,1.5
AAVE-USD,2025-05,4h,1.9660138135684795,28,0,28,3.6892080667739515
OKB-USD,2025-05,4h,-0.9850133186619496,4,0,4,1.5
ONDO-USD,2025-05,4h,-0.26062351953300095,14,0,14,3.891558739587003
USDD-USD,2025-05,4h,0.0007400592762860469,0,0,0,1.5
BNB-USD,2025-06,4h,1.864860569670236,5,0,5,1.5
XRP-USD,2025-06,4h,3.3368080607938824,11,0,11,1.9351965720026079
SOL-USD,2025-06,4h,3.7948093708108352,15,0,15,2.590141271865188
TRX-USD,2025-06,4h,1.80234375,7,0,7,1.5
DOGE-USD,2025-06,4h,-5.648527522072673,10,1,11,2.126595253793477
BCH-USD,2025-06,4h,2.130878383908639,19,0,19,2.4441145276868843
LEO-USD,2025-06,4h,1.3205932079894591,9,0,9,1.5
LINK-USD,2025-06,4h,4.788029612315768,14,0,14,2.4567450625870793
XLM-USD,2025-06,4h,-5.63184256842058,7,1,8,1.8172364509146806
XAUt-USD,2025-06,4h,0.07083889443258158,2,0,2,1.5
BGB-USD,2025-06,4h,-4.691657471071703,8,1,9,1.5
PAXG-USD,2025-06,4h,0.02310317688737996,2,0,2,1.5
AAVE-USD,2025-06,4h,3.3029053189575284,17,0,17,3.394361458068291
OKB-USD,2025-06,4h,2.987322882013741,7,0,7,1.5
ONDO-USD,2025-06,4h,3.2560240929492097,14,0,14,2.8360434153959675
USDD-USD,2025-06,4h,0.000157832664954185,0,0,0,1.5
BNB-USD,2025-07,4h,0.702808935333851,14,0,14,2.381558135055664
XRP-USD,2025-07,4h,1.4785287917811911,19,0,19,3.1101057105415664
SOL-USD,2025-07,4h,0.7887204373243731,15,0,15,3.0843746588084278
TRX-USD,2025-07,4h,0.8509913742016579,10,0,10,1.6731197063987044
DOGE-USD,2025-07,4h,1.15111873424863,23,0,23,3.9938329241439785
BCH-USD,2025-07,4h,1.3901623412742263,12,0,12,2.8436973952496842
LEO-USD,2025-07,4h,0.049889997446152856,0,0,0,1.5
LINK-USD,2025-07,4h,0.654518227162098,19,0,19,3.559985101359433
XLM-USD,2025-07,4h,1.8820117228882918,28,0,28,3.9139718749404198
XAUt-USD,2025-07,4h,-0.0317574370672628,1,0,1,1.5
BGB-USD,2025-07,4h,2.327076567985641,10,0,10,1.84384851644613
PAXG-USD,2025-07,4h,-0.09955295861047489,1,0,1,1.5
AAVE-USD,2025-07,4h,0.2957754696346092,14,0,14,3.5940767161882032
OKB-USD,2025-07,4h,0.5767510321371082,3,0,3,1.5
ONDO-USD,2025-07,4h,1.6909821566323444,24,0,24,4.378468440178398
USDD-USD,2025-07,4h,-0.0009547363644196594,0,0,0,1.5
BNB-USD,2025-08,4h,2.0512425643048484,11,0,11,1.5
XRP-USD,2025-08,4h,2.6728343234216116,10,0,10,1.6907703038672321
SOL-USD,2025-08,4h,2.610820125472801,22,0,22,2.526218648652261
TRX-USD,2025-08,4h,0.0906895525157597,6,0,6,1.5
DOGE-USD,2025-08,4h,5.275199956142042,23,0,23,2.151610718554167
BCH-USD,2025-08,4h,2.929324985576459,8,0,8,1.624678576264178
ONDO-USD,2025-08,4h,4.1484908800602165,17,0,17,1.953460622008639
USDD-USD,2025-08,4h,-0.0006074447990977206,0,0,0,1.5
BNB-USD,2025-09,4h,1.5928536451211766,10,0,10,1.8795146470736095
XRP-USD,2025-09,4h,1.9287355095165368,10,0,10,1.9505509094641131
SOL-USD,2025-09,4h,-1.0001076856366489,10,0,10,2.6188803937583294
TRX-USD,2025-09,4h,1.7368043420695904,4,0,4,1.5
DOGE-USD,2025-09,4h,-2.035835627430515,15,0,15,2.5489688194700286
BCH-USD,2025-09,4h,-4.8832986397657265,8,1,9,1.5
LEO-USD,2025-09,4h,-0.008490689725058473,0,0,0,1.5
LINK-USD,2025-09,4h,2.9103751944804754,11,0,11,2.545402687993459
XLM-USD,2025-09,4h,1.5827331159260574,12,0,12,2.2855178334821358
XAUt-USD,2025-09,4h,0.16258172231862772,4,0,4,1.5
BGB-USD,2025-09,4h,1.7294364393513024,10,0,10,1.5
PAXG-USD,2025-09,4h,0.1723357626152392,4,0,4,1.5
AAVE-USD,2025-09,4h,-0.2981242976619251,4,0,4,2.542891934975427
OKB-USD,2025-09,4h,4.171002014031674,14,0,14,1.6145533577524103
ONDO-USD,2025-09,4h,-3.3894438992168214,11,0,11,2.562289133081112
USDD-USD,2025-09,4h,0.019685617244194875,1,0,1,1.5
BNB-USD,2025-10,4h,-2.2853919741464415,14,0,14,2.513212733803622
XRP-USD,2025-10,4h,-4.294818560466283,13,1,14,3.440926260940596
SOL-USD,2025-10,4h,2.1364551456037955,13,0,13,3.668409044482716
TRX-USD,2025-10,4h,1.6731031208711284,2,0,2,1.5
DOGE-USD,2025-10,4h,-1.8696643477787076,15,1,16,3.4332284144475937
BCH-USD,2025-10,4h,1.7012575140341868,12,0,12,3.771950580072217
LEO-USD,2025-10,4h,0.3630201315696286,1,0,1,1.5
LINK-USD,2025-10,4h,-1.0123318440049478,16,1,17,4.147784849770461
XLM-USD,2025-10,4h,-2.532196461983913,12,1,13,3.4458063865232855
XAUt-USD,2025-10,4h,0.046318001906183785,6,0,6,1.5
BGB-USD,2025-10,4h,0.6168814384490361,10,1,11,1.8648296315100394
PAXG-USD,2025-10,4h,-0.46341794110616324,7,0,7,1.5
AAVE-USD,2025-10,4h,-3.1123384951271147,17,1,18,4.458835017490405
OKB-USD,2025-10,4h,1.5854834324044713,11,0,11,4.006389924449724
ONDO-USD,2025-10,4h,-3.086197220684353,17,1,18,4.0103317129556295
USDD-USD,2025-10,4h,3.0390905703825413e-05,0,0,0,1.5
BNB-USD,2025-11,4h,-11.0277176398934,9,2,11,1.7592283782173277
XRP-USD,2025-11,4h,-2.0112153888363355,13,1,14,2.3038022075493583
SOL-USD,2025-11,4h,-6.887592642242907,7,1,8,2.3075586729591375
TRX-USD,2025-11,4h,0.7743518804398264,2,0,2,1.5
DOGE-USD,2025-11,4h,-5.827023877004139,13,1,14,2.2260091729167533
BCH-USD,2025-11,4h,2.8270785430663454,13,0,13,2.4785459384729767
LEO-USD,2025-11,4h,1.5106168375313245,4,0,4,1.5
LINK-USD,2025-11,4h,-2.476326722573758,13,1,14,1.956986261231288
XLM-USD,2025-11,4h,-3.58219544791993,13,1,14,2.272717931650475
XAUt-USD,2025-11,4h,0.31501420444816175,3,0,3,1.5
BGB-USD,2025-11,4h,-8.102410138679843,9,2,11,1.5
PAXG-USD,2025-11,4h,0.3258692445451743,3,0,3,1.5
AAVE-USD,2025-11,4h,-3.868051334164229,16,1,17,2.2017534572436306
OKB-USD,2025-11,4h,3.666253767933631,6,0,6,3.0695602701026163
ONDO-USD,2025-11,4h,-8.050849537308823,14,1,15,2.691014468657671
USDD-USD,2025-11,4h,0.0010736413317135884,0,0,0,1.5
SOL-USD,2025-12,4h,2.8309414041453054,15,0,15,2.1145005640761814
TRX-USD,2025-12,4h,0.3460958220696375,2,0,2,1.5
DOGE-USD,2025-12,4h,-6.259911017170744,9,1,10,1.834603031256778
BCH-USD,2025-12,4h,2.5935254465976505,13,0,13,1.9661801254263342
LEO-USD,2025-12,4h,2.820865777705876,12,1,13,1.5
LINK-USD,2025-12,4h,3.120594964813281,12,0,12,2.1829401300691256
XLM-USD,2025-12,4h,-6.2405512590285435,11,1,12,1.9686214452469837
XAUt-USD,2025-12,4h,0.07391222808782914,3,0,3,1.5
BGB-USD,2025-12,4h,0.5605443379647659,4,0,4,1.5
PAXG-USD,2025-12,4h,0.11973506451153298,3,0,3,1.5
